Date,Product,Category,Region,Quantity,Unit_Price,Total_Amount,Discount,Net_Amount
2024-08-22 16:30:32.936941,Mobile Phone,Electronics,North,4,63919.63650868431,255678.54603473723,37197.77111783184,218480.7749169054
2024-08-22 16:30:32.936941,Monitor,Electronics,South,6,10211.989156591522,61271.93493954913,2139.3525639955865,59132.582375553546
2024-08-22 16:30:32.936941,Headphones,Accessories,South,3,8739.463660626885,26218.390981880657,62.79141648373438,26155.599565396922
2024-08-22 16:30:32.936941,Mobile Phone,Electronics,Central,2,46409.14962437608,92818.29924875216,7611.707746568011,85206.59150218415
2024-08-23 16:30:32.936941,Mobile Phone,Electronics,Central,2,76369.93649385135,152739.8729877027,6216.872497272145,146523.00049043054
2024-08-23 16:30:32.936941,Mouse,Peripherals,North,5,539.0910168529848,2695.455084264924,5.692729458438474,2689.7623548064857
2024-08-23 16:30:32.936941,Laptop,Electronics,North,3,82411.44063085702,247234.32189257105,11532.825514492368,235701.49637807868
2024-08-24 16:30:32.936941,Headphones,Accessories,South,5,5249.934326457544,26249.67163228772,2058.2347684041038,24191.436863883613
2024-08-24 16:30:32.936941,Speaker,Accessories,Central,3,4974.376151391092,14923.128454173277,648.599722742325,14274.528731430952
2024-08-24 16:30:32.936941,Laptop,Electronics,Central,6,92828.07034091547,556968.4220454928,29766.996697792983,527201.4253476998
2024-08-24 16:30:32.936941,Headphones,Accessories,Central,1,4173.119707007521,4173.119707007521,152.81475418135344,4020.304952826168
2024-08-24 16:30:32.936941,Mouse,Peripherals,South,6,2240.7606820994706,13444.564092596824,538.0131667668086,12906.550925830015
2024-08-25 16:30:32.936941,USB Drive,Peripherals,Central,2,1329.3396336069918,2658.6792672139836,147.41889575455775,2511.260371459426
2024-08-25 16:30:32.936941,Monitor,Electronics,North,1,26073.240522242755,26073.240522242755,2310.9740745964427,23762.26644764631
2024-08-25 16:30:32.936941,Tablet,Electronics,West,4,22927.35213192783,91709.40852771132,1560.9884274796666,90148.42010023165
2024-08-26 16:30:32.936941,Keyboard,Peripherals,East,3,7975.649048426508,23926.947145279522,1000.8810170708617,22926.066128208662
2024-08-26 16:30:32.936941,Tablet,Electronics,South,3,46048.02484927911,138144.0745478373,2102.653857325381,136041.42069051194
2024-08-26 16:30:32.936941,Keyboard,Peripherals,North,3,7963.973506970335,23891.920520911004,1313.3464611972818,22578.574059713723
2024-08-26 16:30:32.936941,Mobile Phone,Electronics,West,8,59456.7735380206,475654.1883041648,45030.55962842009,430623.6286757447
2024-08-27 16:30:32.936941,Mobile Phone,Electronics,East,5,54614.23307758155,273071.16538790776,39073.55823283875,233997.607155069
2024-08-27 16:30:32.936941,Keyboard,Peripherals,Central,5,5219.901049610449,26099.505248052246,1051.0591404562085,25048.44610759604
2024-08-27 16:30:32.936941,Monitor,Electronics,North,3,27101.83510268095,81305.50530804285,10700.289143515836,70605.21616452701
2024-08-28 16:30:32.936941,USB Drive,Peripherals,Central,8,1869.860828834707,14958.886630677656,1791.2410619970778,13167.645568680578
2024-08-28 16:30:32.936941,Mobile Phone,Electronics,West,1,43807.029632833306,43807.029632833306,6451.7299333420215,37355.29969949128
2024-08-29 16:30:32.936941,Mobile Phone,Electronics,Central,6,22330.084065765393,133980.50439459237,3906.4702498306647,130074.03414476171
2024-08-29 16:30:32.936941,Monitor,Electronics,Central,3,19688.69418823738,59066.08256471214,8528.980611323335,50537.1019533888
2024-08-29 16:30:32.936941,Keyboard,Peripherals,Central,7,3058.617834523121,21410.324841661848,1659.3952073960588,19750.92963426579
2024-08-30 16:30:32.936941,Headphones,Accessories,North,5,4203.754107861354,21018.77053930677,2218.503462673276,18800.267076633492
2024-08-30 16:30:32.936941,Laptop,Electronics,South,5,68408.30624683393,342041.53123416967,43943.26451498468,298098.266719185
2024-08-30 16:30:32.936941,Monitor,Electronics,North,5,36015.96800665012,180079.84003325057,21912.227757138622,158167.61227611196
2024-08-30 16:30:32.936941,Headphones,Accessories,North,5,2860.1592388907084,14300.796194453542,1406.6033653004947,12894.192829153048
2024-08-30 16:30:32.936941,Mouse,Peripherals,East,2,1544.8650792889468,3089.7301585778937,263.4861399698262,2826.2440186080676
2024-08-31 16:30:32.936941,USB Drive,Peripherals,East,1,1519.7671698503686,1519.7671698503686,86.10899404723195,1433.6581758031366
2024-08-31 16:30:32.936941,Tablet,Electronics,East,1,26201.736036071412,26201.736036071412,3736.1336307091187,22465.602405362293
2024-08-31 16:30:32.936941,Keyboard,Peripherals,South,3,2882.731317657488,8648.193952972464,1263.8231198612311,7384.370833111233
2024-08-31 16:30:32.936941,Monitor,Electronics,North,5,30640.900305251173,153204.50152625586,9115.321643548801,144089.17988270705
2024-09-01 16:30:32.936941,Webcam,Accessories,South,2,4257.557513185495,8515.11502637099,106.65273112103722,8408.462295249952
2024-09-01 16:30:32.936941,Speaker,Accessories,South,6,11973.533090411433,71841.1985424686,8019.758610612449,63821.43993185615
2024-09-01 16:30:32.936941,Tablet,Electronics,West,3,28120.47028332964,84361.41084998893,11276.713551123206,73084.69729886572
2024-09-01 16:30:32.936941,Mouse,Peripherals,East,6,1042.022766466228,6252.136598797368,360.31234969364937,5891.824249103718
2024-09-02 16:30:32.936941,Speaker,Accessories,South,9,7047.488991868338,63427.40092681505,2530.1627082528057,60897.23821856224
2024-09-02 16:30:32.936941,Keyboard,Peripherals,North,5,6789.667628095166,33948.33814047583,4836.619293334329,29111.718847141503
2024-09-02 16:30:32.936941,Headphones,Accessories,North,5,8794.575005503675,43972.87502751838,3918.84535442843,40054.02967308995
2024-09-02 16:30:32.936941,Keyboard,Peripherals,West,9,3277.1459675495908,29494.313707946316,4409.267928832972,25085.045779113345
2024-09-03 16:30:32.936941,Monitor,Electronics,North,7,23516.324059302806,164614.26841511964,15262.909213455252,149351.3592016644
2024-09-03 16:30:32.936941,Headphones,Accessories,Central,8,8482.343410562511,67858.74728450009,4886.297694127525,62972.44959037256
2024-09-04 16:30:32.936941,Keyboard,Peripherals,South,5,3778.81913224288,18894.0956612144,986.9958162718701,17907.09984494253
2024-09-04 16:30:32.936941,USB Drive,Peripherals,West,6,1763.1371225280645,10578.822735168387,72.77373115574177,10506.049004012646
2024-09-04 16:30:32.936941,USB Drive,Peripherals,South,6,727.8540402684415,4367.124241610649,119.14393884685443,4247.9803027637945
2024-09-04 16:30:32.936941,Monitor,Electronics,South,8,28058.061866228807,224464.49492983046,18475.06571122601,205989.42921860446
2024-09-05 16:30:32.936941,Headphones,Accessories,Central,9,3970.8956197913985,35738.06057812259,2022.5203021644963,33715.54027595809
2024-09-05 16:30:32.936941,Speaker,Accessories,East,1,6795.877314407041,6795.877314407041,761.9581187462617,6033.919195660779
2024-09-06 16:30:32.936941,Webcam,Accessories,West,8,6424.431236562915,51395.44989250332,1405.28429136334,49990.165601139975
2024-09-06 16:30:32.936941,Webcam,Accessories,West,7,2521.521728524542,17650.652099671795,1422.042106514551,16228.609993157244
2024-09-06 16:30:32.936941,Keyboard,Peripherals,South,2,7347.70808144258,14695.41616288516,2058.1484877051876,12637.267675179972
2024-09-07 16:30:32.936941,Tablet,Electronics,Central,6,32073.343028305826,192440.05816983496,20118.49565398911,172321.56251584584
2024-09-07 16:30:32.936941,USB Drive,Peripherals,North,8,1502.9648298866464,12023.718639093171,1030.9365223082118,10992.78211678496
